"data_years","borough","zip_code","indicator","zip_code_rate"
"2016-2018","Bronx",10471,"ed_visits_rate","98.7"
"2016-2018","Bronx",10459,"ed_visits_rate","362.4"
"2016-2018","Bronx",10469,"ed_visits_rate","329.3"
"2016-2018","Bronx",10466,"ed_visits_rate","324.1"
"2016-2018","Bronx",10467,"ed_visits_rate","451.4"
"2016-2018","Bronx",10468,"ed_visits_rate","315.7"
"2016-2018","Bronx",10453,"ed_visits_rate","355"
"2016-2018","Bronx",10474,"ed_visits_rate","375.2"
"2016-2018","Bronx",10454,"ed_visits_rate","655.6"
"2016-2018","Bronx",10458,"ed_visits_rate","370.4"
"2016-2018","Bronx",10465,"ed_visits_rate","193.1"
"2016-2018","Bronx",10460,"ed_visits_rate","416.1"
"2016-2018","Bronx",10472,"ed_visits_rate","315.2"
"2016-2018","Bronx",10452,"ed_visits_rate","372.1"
"2016-2018","Bronx",10464,"ed_visits_rate","188.2"
"2016-2018","Bronx",10462,"ed_visits_rate","268.2"
"2016-2018","Bronx",10455,"ed_visits_rate","534.1"
"2016-2018","Bronx",10457,"ed_visits_rate","491.7"
"2016-2018","Bronx",10473,"ed_visits_rate","340.6"
"2016-2018","Bronx",10456,"ed_visits_rate","484.2"
"2016-2018","Bronx",10475,"ed_visits_rate","193.6"
"2016-2018","Bronx",10470,"ed_visits_rate","236.8"
"2016-2018","Bronx",10451,"ed_visits_rate","601.6"
"2016-2018","Bronx",10461,"ed_visits_rate","241.2"
"2016-2018","Bronx",10463,"ed_visits_rate","178.6"
"2016-2018","Brooklyn",11238,"ed_visits_rate","171.1"
"2016-2018","Brooklyn",11232,"ed_visits_rate","105"
"2016-2018","Brooklyn",11235,"ed_visits_rate","69.6"
"2016-2018","Brooklyn",11239,"ed_visits_rate","318.3"
"2016-2018","Brooklyn",11236,"ed_visits_rate","232.9"
"2016-2018","Brooklyn",11206,"ed_visits_rate","284.7"
"2016-2018","Brooklyn",11230,"ed_visits_rate","47.4"
"2016-2018","Brooklyn",11229,"ed_visits_rate","62"
"2016-2018","Brooklyn",11237,"ed_visits_rate","194.5"
"2016-2018","Brooklyn",11224,"ed_visits_rate","243"
"2016-2018","Brooklyn",11216,"ed_visits_rate","227.7"
"2016-2018","Brooklyn",11221,"ed_visits_rate","272"
"2016-2018","Brooklyn",11234,"ed_visits_rate","100.8"
"2016-2018","Brooklyn",11218,"ed_visits_rate","61.5"
"2016-2018","Brooklyn",11213,"ed_visits_rate","276.5"
"2016-2018","Brooklyn",11205,"ed_visits_rate","154.6"
"2016-2018","Brooklyn",11217,"ed_visits_rate","131.3"
"2016-2018","Brooklyn",11228,"ed_visits_rate","40.2"
"2016-2018","Brooklyn",11233,"ed_visits_rate","323"
"2016-2018","Brooklyn",11226,"ed_visits_rate","234.7"
"2016-2018","Brooklyn",11225,"ed_visits_rate","184.9"
"2016-2018","Brooklyn",11222,"ed_visits_rate","74.5"
"2016-2018","Brooklyn",11231,"ed_visits_rate","156"
"2016-2018","Brooklyn",11204,"ed_visits_rate","34.6"
"2016-2018","Brooklyn",11209,"ed_visits_rate","53.3"
"2016-2018","Brooklyn",11220,"ed_visits_rate","84.1"
"2016-2018","Brooklyn",11223,"ed_visits_rate","60.9"
"2016-2018","Brooklyn",11211,"ed_visits_rate","66.2"
"2016-2018","Brooklyn",11207,"ed_visits_rate","345.3"
"2016-2018","Brooklyn",11219,"ed_visits_rate","39.5"
"2016-2018","Brooklyn",11215,"ed_visits_rate","57"
"2016-2018","Brooklyn",11212,"ed_visits_rate","428.1"
"2016-2018","Brooklyn",11214,"ed_visits_rate","42.9"
"2016-2018","Brooklyn",11210,"ed_visits_rate","116.6"
"2016-2018","Brooklyn",11201,"ed_visits_rate","134.2"
"2016-2018","Brooklyn",11203,"ed_visits_rate","305.9"
"2016-2018","Brooklyn",11208,"ed_visits_rate","267.4"
"2016-2018","Manhattan",10033,"ed_visits_rate","188.1"
"2016-2018","Manhattan",10026,"ed_visits_rate","416.6"
"2016-2018","Manhattan",10035,"ed_visits_rate","466.1"
"2016-2018","Manhattan",10040,"ed_visits_rate","188.2"
"2016-2018","Manhattan",10044,"ed_visits_rate","66.6"
"2016-2018","Manhattan",10032,"ed_visits_rate","259"
"2016-2018","Manhattan",10038,"ed_visits_rate","193.1"
"2016-2018","Manhattan",10075,"ed_visits_rate","23.5"
"2016-2018","Manhattan",10027,"ed_visits_rate","455.4"
"2016-2018","Manhattan",10021,"ed_visits_rate","24.9"
"2016-2018","Manhattan",10022,"ed_visits_rate","22.3"
"2016-2018","Manhattan",10025,"ed_visits_rate","203.4"
"2016-2018","Manhattan",10037,"ed_visits_rate","734.5"
"2016-2018","Manhattan",10030,"ed_visits_rate","610.6"
"2016-2018","Manhattan",10023,"ed_visits_rate","55.6"
"2016-2018","Manhattan",10014,"ed_visits_rate","50.5"
"2016-2018","Manhattan",10019,"ed_visits_rate","131.2"
"2016-2018","Manhattan",10034,"ed_visits_rate","182.8"
"2016-2018","Manhattan",10036,"ed_visits_rate","54.1"
"2016-2018","Manhattan",10280,"ed_visits_rate","35"
"2016-2018","Manhattan",10128,"ed_visits_rate","71.3"
"2016-2018","Manhattan",10065,"ed_visits_rate","28.8"
"2016-2018","Manhattan",10031,"ed_visits_rate","242.4"
"2016-2018","Manhattan",10018,"ed_visits_rate","188.7"
"2016-2018","Manhattan",10012,"ed_visits_rate","27.3"
"2016-2018","Manhattan",10010,"ed_visits_rate","88"
"2016-2018","Manhattan",10011,"ed_visits_rate","92.3"
"2016-2018","Manhattan",10005,"ed_visits_rate","71.9"
"2016-2018","Manhattan",10004,"ed_visits_rate",NA
"2016-2018","Manhattan",10006,"ed_visits_rate",NA
"2016-2018","Manhattan",10001,"ed_visits_rate","218.9"
"2016-2018","Manhattan",10039,"ed_visits_rate","511.1"
"2016-2018","Manhattan",10002,"ed_visits_rate","200.1"
"2016-2018","Manhattan",10007,"ed_visits_rate","27.7"
"2016-2018","Manhattan",10009,"ed_visits_rate","351.8"
"2016-2018","Manhattan",10017,"ed_visits_rate","54.2"
"2016-2018","Manhattan",10013,"ed_visits_rate","35.3"
"2016-2018","Manhattan",10028,"ed_visits_rate","23.4"
"2016-2018","Manhattan",10029,"ed_visits_rate","544.1"
"2016-2018","Manhattan",10024,"ed_visits_rate","61.9"
"2016-2018","Manhattan",10016,"ed_visits_rate","121.3"
"2016-2018","Manhattan",10003,"ed_visits_rate","53.6"
"2016-2018","Queens",11697,"ed_visits_rate",NA
"2016-2018","Queens",11694,"ed_visits_rate","51.4"
"2016-2018","Queens",11423,"ed_visits_rate","175.7"
"2016-2018","Queens",11434,"ed_visits_rate","217.7"
"2016-2018","Queens",11429,"ed_visits_rate","159.2"
"2016-2018","Queens",11427,"ed_visits_rate","94.6"
"2016-2018","Queens",11692,"ed_visits_rate","215.6"
"2016-2018","Queens",11428,"ed_visits_rate","107.8"
"2016-2018","Queens",11433,"ed_visits_rate","263.6"
"2016-2018","Queens",11421,"ed_visits_rate","135.7"
"2016-2018","Queens",11432,"ed_visits_rate","189.8"
"2016-2018","Queens",11436,"ed_visits_rate","207.1"
"2016-2018","Queens",11378,"ed_visits_rate","72.6"
"2016-2018","Queens",11417,"ed_visits_rate","136.8"
"2016-2018","Queens",11411,"ed_visits_rate","148.2"
"2016-2018","Queens",11426,"ed_visits_rate","56.7"
"2016-2018","Queens",11416,"ed_visits_rate","159.9"
"2016-2018","Queens",11412,"ed_visits_rate","180.4"
"2016-2018","Queens",11379,"ed_visits_rate","61.9"
"2016-2018","Queens",11377,"ed_visits_rate","146.4"
"2016-2018","Queens",11366,"ed_visits_rate","76"
"2016-2018","Queens",11385,"ed_visits_rate","120.8"
"2016-2018","Queens",11374,"ed_visits_rate","59"
"2016-2018","Queens",11372,"ed_visits_rate","153.5"
"2016-2018","Queens",11420,"ed_visits_rate","137.1"
"2016-2018","Queens",11373,"ed_visits_rate","166.8"
"2016-2018","Queens",11367,"ed_visits_rate","107.3"
"2016-2018","Queens",11691,"ed_visits_rate","176.5"
"2016-2018","Queens",11413,"ed_visits_rate","169.1"
"2016-2018","Queens",11368,"ed_visits_rate","174.5"
"2016-2018","Queens",11369,"ed_visits_rate","173.9"
"2016-2018","Queens",11422,"ed_visits_rate","117.6"
"2016-2018","Queens",11418,"ed_visits_rate","149.6"
"2016-2018","Queens",11419,"ed_visits_rate","150.9"
"2016-2018","Queens",11435,"ed_visits_rate","212.4"
"2016-2018","Queens",11375,"ed_visits_rate","40.6"
"2016-2018","Queens",11415,"ed_visits_rate","61.9"
"2016-2018","Queens",11362,"ed_visits_rate","33.7"
"2016-2018","Queens",11693,"ed_visits_rate","179.2"
"2016-2018","Queens",11363,"ed_visits_rate","24.6"
"2016-2018","Queens",11364,"ed_visits_rate","37.2"
"2016-2018","Queens",11365,"ed_visits_rate","119.9"
"2016-2018","Queens",11370,"ed_visits_rate","135"
"2016-2018","Queens",11414,"ed_visits_rate","67.5"
"2016-2018","Queens",11361,"ed_visits_rate","38.3"
"2016-2018","Queens",11357,"ed_visits_rate","40"
"2016-2018","Queens",11356,"ed_visits_rate","124.1"
"2016-2018","Queens",11109,"ed_visits_rate",NA
"2016-2018","Queens",11103,"ed_visits_rate","47.4"
"2016-2018","Queens",11102,"ed_visits_rate","187.3"
"2016-2018","Queens",11104,"ed_visits_rate","66.4"
"2016-2018","Queens",11358,"ed_visits_rate","67.9"
"2016-2018","Queens",11101,"ed_visits_rate","180.7"
"2016-2018","Queens",11355,"ed_visits_rate","98"
"2016-2018","Queens",11004,"ed_visits_rate","39"
"2016-2018","Queens",11360,"ed_visits_rate","36.9"
"2016-2018","Queens",11005,"ed_visits_rate",NA
"2016-2018","Queens",11105,"ed_visits_rate","54.4"
"2016-2018","Queens",11106,"ed_visits_rate","141.6"
"2016-2018","Queens",11354,"ed_visits_rate","80.7"
"2016-2018","Queens",11359,"ed_visits_rate",NA
"2016-2018","Staten Island",10304,"ed_visits_rate","160.6"
"2016-2018","Staten Island",10314,"ed_visits_rate","49.8"
"2016-2018","Staten Island",10309,"ed_visits_rate","25.5"
"2016-2018","Staten Island",10305,"ed_visits_rate","58.2"
"2016-2018","Staten Island",10312,"ed_visits_rate","29.5"
"2016-2018","Staten Island",10301,"ed_visits_rate","195.9"
"2016-2018","Staten Island",10306,"ed_visits_rate","56.3"
"2016-2018","Staten Island",10308,"ed_visits_rate","32.8"
"2016-2018","Staten Island",10307,"ed_visits_rate","23.6"
"2016-2018","Staten Island",10302,"ed_visits_rate","153.6"
"2016-2018","Staten Island",10310,"ed_visits_rate","152.9"
"2016-2018","Staten Island",10303,"ed_visits_rate","185.1"
"2016-2018","Bronx",10475,"hosp_rate","40.6"
"2016-2018","Bronx",10474,"hosp_rate","72.5"
"2016-2018","Bronx",10473,"hosp_rate","70.7"
"2016-2018","Bronx",10471,"hosp_rate","21.8"
"2016-2018","Bronx",10469,"hosp_rate","58.8"
"2016-2018","Bronx",10466,"hosp_rate","66.8"
"2016-2018","Bronx",10465,"hosp_rate","40.9"
"2016-2018","Bronx",10461,"hosp_rate","46.1"
"2016-2018","Bronx",10457,"hosp_rate","59.3"
"2016-2018","Bronx",10455,"hosp_rate","82.6"
"2016-2018","Bronx",10454,"hosp_rate","82.4"
"2016-2018","Bronx",10456,"hosp_rate","71.3"
"2016-2018","Bronx",10453,"hosp_rate","53.7"
"2016-2018","Bronx",10458,"hosp_rate","61.1"
"2016-2018","Bronx",10452,"hosp_rate","52.9"
"2016-2018","Bronx",10451,"hosp_rate","81.1"
"2016-2018","Bronx",10472,"hosp_rate","59"
"2016-2018","Bronx",10464,"hosp_rate","51.8"
"2016-2018","Bronx",10463,"hosp_rate","31.4"
"2016-2018","Bronx",10467,"hosp_rate","69"
"2016-2018","Bronx",10462,"hosp_rate","48.9"
"2016-2018","Bronx",10468,"hosp_rate","62.7"
"2016-2018","Bronx",10470,"hosp_rate","56.3"
"2016-2018","Bronx",10460,"hosp_rate","64.7"
"2016-2018","Bronx",10459,"hosp_rate","56.7"
"2016-2018","Brooklyn",11239,"hosp_rate","69.6"
"2016-2018","Brooklyn",11238,"hosp_rate","33.2"
"2016-2018","Brooklyn",11236,"hosp_rate","47.8"
"2016-2018","Brooklyn",11234,"hosp_rate","22.6"
"2016-2018","Brooklyn",11233,"hosp_rate","51.9"
"2016-2018","Brooklyn",11232,"hosp_rate","12.8"
"2016-2018","Brooklyn",11231,"hosp_rate","23.6"
"2016-2018","Brooklyn",11230,"hosp_rate","7.8"
"2016-2018","Brooklyn",11229,"hosp_rate","10"
"2016-2018","Brooklyn",11228,"hosp_rate","7.4"
"2016-2018","Brooklyn",11225,"hosp_rate","38.1"
"2016-2018","Brooklyn",11224,"hosp_rate","34.8"
"2016-2018","Brooklyn",11223,"hosp_rate","10.5"
"2016-2018","Brooklyn",11226,"hosp_rate","49.7"
"2016-2018","Brooklyn",11222,"hosp_rate","7.4"
"2016-2018","Brooklyn",11219,"hosp_rate","4.4"
"2016-2018","Brooklyn",11218,"hosp_rate","9.1"
"2016-2018","Brooklyn",11215,"hosp_rate","11"
"2016-2018","Brooklyn",11237,"hosp_rate","24.8"
"2016-2018","Brooklyn",11235,"hosp_rate","13.6"
"2016-2018","Brooklyn",11214,"hosp_rate","5.1"
"2016-2018","Brooklyn",11217,"hosp_rate","19"
"2016-2018","Brooklyn",11213,"hosp_rate","52.2"
"2016-2018","Brooklyn",11216,"hosp_rate","30.8"
"2016-2018","Brooklyn",11212,"hosp_rate","72.5"
"2016-2018","Brooklyn",11211,"hosp_rate","7.4"
"2016-2018","Brooklyn",11210,"hosp_rate","22.7"
"2016-2018","Brooklyn",11209,"hosp_rate","6.6"
"2016-2018","Brooklyn",11221,"hosp_rate","44.7"
"2016-2018","Brooklyn",11208,"hosp_rate","52.1"
"2016-2018","Brooklyn",11207,"hosp_rate","62.5"
"2016-2018","Brooklyn",11206,"hosp_rate","31.1"
"2016-2018","Brooklyn",11205,"hosp_rate","23.5"
"2016-2018","Brooklyn",11204,"hosp_rate","5.5"
"2016-2018","Brooklyn",11203,"hosp_rate","63.2"
"2016-2018","Brooklyn",11201,"hosp_rate","20.6"
"2016-2018","Brooklyn",11220,"hosp_rate","8.6"
"2016-2018","Manhattan",10280,"hosp_rate",NA
"2016-2018","Manhattan",10128,"hosp_rate","13.8"
"2016-2018","Manhattan",10065,"hosp_rate","13"
"2016-2018","Manhattan",10040,"hosp_rate","36"
"2016-2018","Manhattan",10036,"hosp_rate",NA
"2016-2018","Manhattan",10035,"hosp_rate","52.5"
"2016-2018","Manhattan",10034,"hosp_rate","37.9"
"2016-2018","Manhattan",10037,"hosp_rate","139.9"
"2016-2018","Manhattan",10033,"hosp_rate","43.3"
"2016-2018","Manhattan",10032,"hosp_rate","50.2"
"2016-2018","Manhattan",10030,"hosp_rate","121.1"
"2016-2018","Manhattan",10075,"hosp_rate","8.5"
"2016-2018","Manhattan",10028,"hosp_rate","6.8"
"2016-2018","Manhattan",10029,"hosp_rate","60.6"
"2016-2018","Manhattan",10044,"hosp_rate",NA
"2016-2018","Manhattan",10031,"hosp_rate","34.4"
"2016-2018","Manhattan",10027,"hosp_rate","53"
"2016-2018","Manhattan",10026,"hosp_rate","41.4"
"2016-2018","Manhattan",10025,"hosp_rate","14.8"
"2016-2018","Manhattan",10024,"hosp_rate","9.5"
"2016-2018","Manhattan",10023,"hosp_rate","8.4"
"2016-2018","Manhattan",10019,"hosp_rate","15.9"
"2016-2018","Manhattan",10016,"hosp_rate","11.2"
"2016-2018","Manhattan",10014,"hosp_rate",NA
"2016-2018","Manhattan",10010,"hosp_rate",NA
"2016-2018","Manhattan",10005,"hosp_rate",NA
"2016-2018","Manhattan",10001,"hosp_rate","40.4"
"2016-2018","Manhattan",10002,"hosp_rate","23.9"
"2016-2018","Manhattan",10004,"hosp_rate",NA
"2016-2018","Manhattan",10003,"hosp_rate",NA
"2016-2018","Manhattan",10006,"hosp_rate",NA
"2016-2018","Manhattan",10009,"hosp_rate","28.3"
"2016-2018","Manhattan",10011,"hosp_rate",NA
"2016-2018","Manhattan",10012,"hosp_rate",NA
"2016-2018","Manhattan",10013,"hosp_rate","9.5"
"2016-2018","Manhattan",10007,"hosp_rate","8.1"
"2016-2018","Manhattan",10039,"hosp_rate","86.2"
"2016-2018","Manhattan",10017,"hosp_rate",NA
"2016-2018","Manhattan",10021,"hosp_rate","4.9"
"2016-2018","Manhattan",10022,"hosp_rate",NA
"2016-2018","Manhattan",10038,"hosp_rate","19.3"
"2016-2018","Manhattan",10018,"hosp_rate",NA
"2016-2018","Queens",11697,"hosp_rate",NA
"2016-2018","Queens",11693,"hosp_rate","25.3"
"2016-2018","Queens",11692,"hosp_rate","31.8"
"2016-2018","Queens",11691,"hosp_rate","24.2"
"2016-2018","Queens",11435,"hosp_rate","30.7"
"2016-2018","Queens",11434,"hosp_rate","40.1"
"2016-2018","Queens",11433,"hosp_rate","43.1"
"2016-2018","Queens",11432,"hosp_rate","19.9"
"2016-2018","Queens",11429,"hosp_rate","44"
"2016-2018","Queens",11428,"hosp_rate","22.1"
"2016-2018","Queens",11427,"hosp_rate","24.2"
"2016-2018","Queens",11423,"hosp_rate","28"
"2016-2018","Queens",11422,"hosp_rate","27"
"2016-2018","Queens",11421,"hosp_rate","25.1"
"2016-2018","Queens",11419,"hosp_rate","19"
"2016-2018","Queens",11418,"hosp_rate","26.6"
"2016-2018","Queens",11417,"hosp_rate","23"
"2016-2018","Queens",11415,"hosp_rate","12.4"
"2016-2018","Queens",11414,"hosp_rate","14.3"
"2016-2018","Queens",11413,"hosp_rate","30.5"
"2016-2018","Queens",11412,"hosp_rate","27.9"
"2016-2018","Queens",11411,"hosp_rate","28.9"
"2016-2018","Queens",11385,"hosp_rate","22.3"
"2016-2018","Queens",11379,"hosp_rate","18.4"
"2016-2018","Queens",11378,"hosp_rate","7.9"
"2016-2018","Queens",11377,"hosp_rate","14.6"
"2016-2018","Queens",11375,"hosp_rate","11.7"
"2016-2018","Queens",11374,"hosp_rate","13.3"
"2016-2018","Queens",11416,"hosp_rate","28.9"
"2016-2018","Queens",11373,"hosp_rate","21.9"
"2016-2018","Queens",11372,"hosp_rate","16.2"
"2016-2018","Queens",11370,"hosp_rate","17.8"
"2016-2018","Queens",11369,"hosp_rate","22"
"2016-2018","Queens",11420,"hosp_rate","22"
"2016-2018","Queens",11426,"hosp_rate","16.8"
"2016-2018","Queens",11368,"hosp_rate","22.3"
"2016-2018","Queens",11367,"hosp_rate","21.6"
"2016-2018","Queens",11366,"hosp_rate",NA
"2016-2018","Queens",11365,"hosp_rate","24.7"
"2016-2018","Queens",11364,"hosp_rate","5.2"
"2016-2018","Queens",11363,"hosp_rate",NA
"2016-2018","Queens",11362,"hosp_rate",NA
"2016-2018","Queens",11361,"hosp_rate","6.3"
"2016-2018","Queens",11436,"hosp_rate","33.6"
"2016-2018","Queens",11360,"hosp_rate","10.8"
"2016-2018","Queens",11359,"hosp_rate",NA
"2016-2018","Queens",11358,"hosp_rate","14.2"
"2016-2018","Queens",11357,"hosp_rate","4.8"
"2016-2018","Queens",11694,"hosp_rate","9.5"
"2016-2018","Queens",11356,"hosp_rate","17.9"
"2016-2018","Queens",11355,"hosp_rate","21.6"
"2016-2018","Queens",11354,"hosp_rate","18.5"
"2016-2018","Queens",11109,"hosp_rate",NA
"2016-2018","Queens",11106,"hosp_rate","20.4"
"2016-2018","Queens",11105,"hosp_rate","7.6"
"2016-2018","Queens",11104,"hosp_rate","9.4"
"2016-2018","Queens",11103,"hosp_rate","8.1"
"2016-2018","Queens",11102,"hosp_rate","14.6"
"2016-2018","Queens",11101,"hosp_rate","21.1"
"2016-2018","Queens",11005,"hosp_rate",NA
"2016-2018","Queens",11004,"hosp_rate","15.6"
"2016-2018","Staten Island",10314,"hosp_rate","10.1"
"2016-2018","Staten Island",10312,"hosp_rate","5.2"
"2016-2018","Staten Island",10310,"hosp_rate","29.9"
"2016-2018","Staten Island",10309,"hosp_rate","7.6"
"2016-2018","Staten Island",10308,"hosp_rate","7.2"
"2016-2018","Staten Island",10307,"hosp_rate",NA
"2016-2018","Staten Island",10306,"hosp_rate","11.7"
"2016-2018","Staten Island",10305,"hosp_rate","10.9"
"2016-2018","Staten Island",10304,"hosp_rate","31.8"
"2016-2018","Staten Island",10303,"hosp_rate","43.4"
"2016-2018","Staten Island",10302,"hosp_rate","39.2"
"2016-2018","Staten Island",10301,"hosp_rate","39.2"
